iter	Passed	Remaining
203	306	1196
204	307	1191
205	308	1187
206	309	1183
207	309	1179
208	310	1176
209	311	1172
210	312	1168
211	313	1164
212	314	1160
213	314	1156
214	315	1153
215	316	1149
216	317	1145
217	318	1141
218	319	1137
219	319	1134
220	320	1130
221	321	1127
222	322	1124
223	323	1120
224	324	1117
225	325	1113
226	326	1110
227	326	1106
228	327	1102
229	328	1099
230	329	1095
231	330	1092
232	330	1089
233	331	1086
234	332	1083
235	333	1079
236	334	1076
237	335	1073
238	336	1070
239	336	1067
240	337	1063
241	338	1060
242	339	1057
243	340	1054
244	341	1051
245	341	1048
246	342	1045
247	343	1041
248	344	1038
249	345	1035
250	346	1032
251	346	1029
252	347	1026
253	348	1023
254	349	1020
255	350	1017
256	351	1015
257	351	1012
258	352	1009
259	353	1006
260	354	1003
261	355	1001
262	356	998
263	357	995
264	358	993
265	358	990
266	359	987
267	360	984
268	361	982
269	362	979
270	363	976
271	363	973
272	364	971
273	365	968
274	366	966
275	367	963
276	368	961
277	369	958
278	370	956
279	370	953
280	371	951
281	372	948
282	373	946
283	374	943
284	375	941
285	376	939
286	377	936
287	377	934
288	378	931
289	379	928
290	380	926
291	381	924
292	381	921
293	382	919
294	383	916
295	384	914
296	385	911
297	386	909
298	386	907
299	387	904
300	388	902
301	389	899
302	390	897
303	390	895
304	391	892
305	392	890
306	393	888
307	394	886
308	395	884
309	396	882
310	397	879
311	398	877
312	398	875
313	399	873
314	400	870
315	401	868
316	402	866
317	403	864
318	403	862
319	404	860
320	405	857
321	406	855
322	407	853
323	407	851
324	408	849
325	409	847
326	410	844
327	411	842
328	412	840
329	413	838
330	413	836
331	414	834
332	415	832
333	416	830
334	417	828
335	418	826
336	419	824
337	419	822
338	420	820
339	421	818
340	422	816
341	423	814
342	424	812
343	424	810
344	425	808
345	426	806
346	427	804
347	428	802
348	428	800
349	429	798
350	430	796
351	431	794
352	432	792
353	432	790
354	433	788
355	434	786
356	435	784
357	436	782
358	436	779
359	437	778
360	438	776
361	439	774
362	440	772
363	440	770
364	441	768
365	442	766
366	443	764
367	444	762
368	445	761
369	445	759
370	446	757
371	447	755
372	448	753
373	449	751
374	449	749
375	450	748
376	451	746
377	452	744
378	453	742
379	454	741
380	454	739
381	455	737
382	456	735
383	457	734
384	458	732
385	459	730
386	460	728
387	461	727
388	461	725
389	462	723
390	463	722
391	464	720
392	465	718
393	466	717
394	467	715
395	467	713
396	468	712
397	469	710
398	470	709
399	472	708
400	473	706
401	474	705
402	475	704
403	476	702
404	477	701
405	478	700
406	479	699
407	480	697
408	481	696
409	483	695
410	484	693
411	484	692
412	485	690
413	487	689
414	488	687
415	489	686
416	490	685
417	491	684
418	492	682
419	493	681
420	494	679
421	495	678
422	496	677
423	497	675
424	498	674
425	499	673
426	500	671
427	501	670
428	502	668
429	503	666
430	504	665
431	504	663
432	505	662
433	506	660
434	507	659
435	508	658
436	509	656
437	510	655
438	511	654
439	512	652
440	513	651
441	514	649
442	515	648
443	516	647
444	517	645
445	518	644
446	519	642
447	520	641
448	521	639
449	522	638
450	523	636
451	524	635
452	525	634
453	526	632
454	527	631
455	528	629
456	528	628
457	529	626
458	530	625
459	531	624
460	532	622
461	533	621
462	534	620
463	535	618
464	536	617
465	537	616
466	538	614
467	539	613
468	540	612
469	541	610
470	542	609
471	543	607
472	544	606
473	545	605
474	546	603
475	547	602
476	548	601
477	549	599
478	549	598
479	550	596
480	551	595
481	552	594
482	553	592
483	554	591
484	555	590
485	556	588
486	557	587
487	558	586
488	559	585
489	560	583
490	561	582
491	562	581
492	563	579
493	564	578
494	565	576
495	566	575
496	567	574
497	568	573
498	569	571
499	570	570
500	572	570
501	573	569
502	574	567
503	575	566
504	576	565
505	577	564
506	578	562
507	579	561
508	580	560
509	581	558
510	582	557
511	583	556
512	584	554
513	585	553
514	586	552
515	588	551
516	588	550
517	589	548
518	590	547
519	591	546
520	592	544
521	593	543
522	594	542
523	595	541
524	596	539
525	597	538
526	598	537
527	599	536
528	600	534
529	601	533
530	602	532
531	603	530
532	604	529
533	605	528
534	606	527
535	607	525
536	608	524
537	609	523
538	610	521
539	610	520
540	612	519
541	613	518
542	614	516
543	615	515
544	616	514
545	617	513
546	617	511
547	618	510
548	619	509
549	620	507
550	622	506
551	623	505
552	624	504
553	625	503
554	626	502
555	627	500
556	628	499
557	629	498
558	630	497
559	631	496
560	632	494
561	633	493
562	633	492
563	634	490
564	635	489
565	636	488
566	638	487
567	639	486
568	640	485
569	641	483
570	642	482
571	643	481
572	644	480
573	645	478
574	646	477
575	647	476
576	648	475
577	649	474
578	650	472
579	651	471
580	652	470
581	653	469
582	654	467
583	654	466
584	656	465
585	657	464
586	658	462
587	659	461
588	660	460
589	660	459
590	661	458
591	662	456
592	663	455
593	664	454
594	665	453
595	666	451
596	667	450
597	668	449
598	669	448
599	670	446
600	671	445
601	672	444
602	673	443
603	674	442
604	675	440
605	676	439
606	677	438
607	678	437
608	679	436
609	680	435
610	681	434
611	682	432
612	683	431
613	684	430
614	686	429
615	686	428
616	687	426
617	688	425
618	689	424
619	690	423
620	691	422
621	692	421
622	693	419
623	694	418
624	695	417
625	696	416
626	697	414
627	698	413
628	699	412
629	700	411
630	701	410
631	702	408
632	703	407
633	704	406
634	705	405
635	706	404
636	707	402
637	707	401
638	708	400
639	709	399
640	710	398
641	711	396
642	712	395
643	713	394
644	714	393
645	715	392
646	716	390
647	717	389
648	718	388
649	719	387
650	720	386
651	721	385
652	722	384
653	723	382
654	724	381
655	725	380
656	726	379
657	727	378
658	729	377
659	730	376
660	730	374
661	731	373
662	732	372
663	733	371
664	734	370
665	735	368
666	736	367
667	737	366
668	738	365
669	739	364
670	740	363
671	741	362
672	742	360
673	743	359
674	744	358
675	746	357
676	747	356
677	748	355
678	748	354
679	749	352
680	750	351
681	751	350
682	752	349
683	753	348
684	754	347
685	755	345
686	756	344
687	757	343
688	758	342
689	759	341
690	760	340
691	761	339
692	762	337
693	763	336
694	764	335
695	765	334
696	766	333
697	767	332
698	768	330
699	769	329
700	770	328
701	771	327
702	773	326
703	774	325
704	775	324
705	775	323
706	776	321
707	777	320
708	778	319
709	779	318
710	780	317
711	782	316
712	782	315
713	784	314
714	785	312
715	785	311
716	787	310
717	787	309
718	789	308
719	790	307
720	791	306
721	792	305
722	793	303
723	794	302
724	795	301
725	795	300
726	797	299
727	798	298
728	799	297
729	800	295
730	801	294
731	802	293
732	803	292
733	804	291
734	805	290
735	806	289
736	807	288
737	808	286
738	809	285
739	810	284
740	811	283
741	812	282
742	813	281
743	814	280
744	815	279
745	816	277
746	817	276
747	818	275
748	819	274
749	820	273
750	821	272
751	822	271
752	823	269
753	824	268
754	825	267
755	826	266
756	827	265
757	827	264
758	828	263
759	829	262
760	830	260
761	831	259
762	832	258
763	833	257
764	835	256
765	836	255
766	836	254
767	837	253
768	838	251
769	839	250
770	840	249
771	841	248
772	842	247
773	843	246
774	844	245
775	845	244
776	846	242
777	847	241
778	848	240
779	849	239
780	850	238
781	851	237
782	852	236
783	853	235
784	854	234
785	855	232
786	856	231
787	857	230
788	858	229
789	859	228
790	860	227
791	861	226
792	862	225
793	863	224
794	864	222
795	865	221
796	866	220
797	867	219
798	868	218
799	869	217
800	870	216
801	871	215
802	872	213
803	873	212
804	874	211
805	875	210
806	876	209
807	877	208
808	878	207
809	879	206
810	880	205
811	881	204
812	882	202
813	883	201
814	884	200
815	885	199
816	886	198
817	887	197
818	888	196
819	889	195
820	890	194
821	891	193
822	892	192
823	894	190
824	894	189
825	896	188
826	896	187
827	897	186
828	898	185
829	899	184
830	900	183
831	901	182
832	902	181
833	903	179
834	905	178
835	906	177
836	907	176
837	908	175
838	909	174
839	910	173
840	911	172
841	912	171
842	913	170
843	914	169
844	915	167
845	916	166
846	917	165
847	918	164
848	919	163
849	920	162
850	921	161
851	922	160
852	923	159
853	924	158
854	925	156
855	926	155
856	927	154
857	927	153
858	928	152
859	929	151
860	930	150
861	931	149
862	932	148
863	933	146
864	934	145
865	935	144
866	936	143
867	937	142
868	938	141
869	939	140
870	940	139
871	941	138
872	942	137
873	942	135
874	943	134
875	944	133
876	945	132
877	946	131
878	947	130
879	948	129
880	949	128
881	950	127
882	951	126
883	952	124
884	952	123
885	953	122
886	954	121
887	955	120
888	956	119
889	957	118
890	958	117
891	959	116
892	960	115
893	961	113
894	961	112
895	962	111
896	963	110
897	964	109
898	965	108
899	966	107
900	967	106
901	968	105
902	969	104
903	970	103
904	971	101
905	972	100
906	973	99
907	974	98
908	975	97
909	976	96
910	976	95
911	977	94
912	978	93
913	979	92
914	980	91
915	981	89
916	982	88
917	983	87
918	984	86
919	984	85
920	985	84
921	986	83
922	987	82
923	988	81
924	989	80
925	990	79
926	991	78
927	992	76
928	993	75
929	994	74
930	995	73
931	995	72
932	996	71
933	997	70
934	998	69
935	999	68
936	1000	67
937	1001	66
938	1002	65
939	1002	64
940	1003	62
941	1004	61
942	1005	60
943	1006	59
944	1007	58
945	1008	57
946	1009	56
947	1010	55
948	1011	54
949	1012	53
950	1013	52
951	1014	51
952	1015	50
953	1016	49
954	1017	47
955	1018	46
956	1019	45
957	1020	44
958	1021	43
959	1022	42
960	1023	41
961	1024	40
962	1025	39
963	1026	38
964	1027	37
965	1028	36
966	1029	35
967	1030	34
968	1031	33
969	1032	31
970	1033	30
971	1035	29
972	1036	28
973	1037	27
974	1038	26
975	1039	25
976	1041	24
977	1042	23
978	1043	22
979	1044	21
980	1045	20
981	1046	19
982	1047	18
983	1048	17
984	1049	15
985	1050	14
986	1051	13
987	1053	12
988	1054	11
989	1055	10
990	1056	9
991	1057	8
992	1058	7
993	1059	6
994	1060	5
995	1061	4
996	1062	3
997	1063	2
998	1064	1
999	1065	0
